_GameID,_WhiteID,_BlackID,_OpeningCode,Rated,Game Time,Extra Time,Turns,Winner,Victory Status,White Rating,Black Rating,Initial Moves,Opening Moves,Opening Name,Opening Full Name,Opening Response,Opening Variation
19,shivangithegenius,slam_ment,C41,False,15,15,101,Black,Resign,1094,1300,e4 e5,5,Philidor Defense,Philidor Defense #3,"",#3
20,g-ios,shivangithegenius,D00,False,11,0,25,White,Resign,1500,1094,d4 d5,2,"Queen's Pawn Game","Queen's Pawn Game","",""
21,shivangithegenius,lex_v1,C55,False,15,15,14,Black,Resign,1094,1676,e4 e5,6,Italian Game,Italian Game: Anti-Fried Liver Defense,"",Anti-Fried Liver Defense
22,shivangithegenius,themannichreaction,A40,False,30,60,3,White,Resign,1094,1068,d4 e6,2,Horwitz Defense,Horwitz Defense,"",""
23,storm28rus,shivangithegenius,B20,False,15,5,17,White,Resign,1500,1094,e4 c5,3,Sicilian Defense,Sicilian Defense: Bowdler Attack,"",Bowdler Attack
24,robotsmoke,shivangithegenius,A25,True,10,0,36,White,Resign,1307,1106,c4 Nc6,4,English Opening,"English Opening: King's English Variation |  Reversed Closed Sicilian","","King's English Variation"
25,shivangithegenius,ivangonzalez123,B21,True,10,0,13,Black,Resign,1113,1423,e4 c5,3,Sicilian Defense,Sicilian Defense: Smith-Morra Gambit #2,"",Smith-Morra Gambit #2
26,shivangithegenius,sureka_akshat,D01,True,10,10,69,White,Mate,1078,1219,d4 d5,4,"Queen's Pawn Game","Queen's Pawn Game: Chigorin Variation","",Chigorin Variation
27,gmcarlsen403,shivangithegenius,C45,True,10,10,43,White,Resign,1825,1079,e4 e5,8,Scotch Game,Scotch Game: Haxo Gambit,"",Haxo Gambit
28,mannat1,shivangithegenius,D01,True,10,10,54,Black,Mate,1328,1038,d4 d5,4,"Queen's Pawn Game","Queen's Pawn Game: Chigorin Variation","",Chigorin Variation
29,shivangithegenius,biyanivedant01,D10,True,10,10,53,Black,Resign,1056,1156,d4 d5,4,Slav Defense,Slav Defense,"",""
30,shivangithegenius,chinmaysharma,D06,True,10,10,66,Black,Mate,1077,1148,d4 d5,4,"Queen's Gambit","Queen's Gambit Refused: Marshall Defense",Refused,Marshall Defense
31,biyanivedant01,shivangithegenius,B21,True,10,10,64,Black,Resign,1358,1036,e4 c5,3,Sicilian Defense,Sicilian Defense: Smith-Morra Gambit #2,"",Smith-Morra Gambit #2
32,rv0209,shivangithegenius,B52,True,10,10,64,Black,Mate,1200,1002,e4 c5,6,Sicilian Defense,Sicilian Defense: Canal Attack |  Main Line,"",Canal Attack
33,vihaandumir,shivangithegenius,B27,True,10,10,54,White,Resign,1203,1019,e4 c5,3,Sicilian Defense,Sicilian Defense,"",""
34,shivangithegenius,shamlanaseer,D20,False,15,3,21,Black,Resign,1019,1500,d4 d5,6,"Queen's Gambit","Queen's Gambit Accepted: Central Variation |  Greco Variation",Accepted,Central Variation
35,medovich,shivangithegenius,B20,False,18,0,11,White,Resign,1422,975,e4 c5,3,Sicilian Defense,Sicilian Defense: Bowdler Attack,"",Bowdler Attack
36,shivangithegenius,sorethea,B06,True,10,0,19,Black,Resign,976,1832,d4 g6,4,Robatsch (Modern) Defense,Robatsch (Modern) Defense,"",""
37,rico21,shivangithegenius,D00,True,10,0,28,White,Resign,1569,978,d4 d5,10,Blackmar-Diemer Gambit,Blackmar-Diemer Gambit: Tartakower Variation,"",Tartakower Variation
38,shivangithegenius,jojo58,A45,False,15,0,22,Black,Resign,978,1500,d4 Nf6,2,Indian Game,Indian Game,"",""
39,jojo58,shivangithegenius,B77,False,15,0,37,White,Resign,1500,978,e4 c5,17,Sicilian Defense,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,"",Dragon Variation
40,rajuppi,shivangithegenius,A21,False,30,30,34,White,Resign,2449,978,c4 e5,3,English Opening,"English Opening: King's English Variation |  Reversed Sicilian","","King's English Variation"
41,white_queen_1990,shivangithegenius,B70,False,20,25,32,Draw,Draw,1207,978,e4 c5,10,Sicilian Defense,Sicilian Defense: Dragon Variation,"",Dragon Variation
42,milestretch,shivangithegenius,B23,False,5,5,71,Black,Resign,1241,978,e4 c5,3,Sicilian Defense,Sicilian Defense: Closed Variation,"",Closed Variation
43,stephen789,shivangithegenius,B21,False,30,0,30,White,Resign,1500,978,e4 c5,3,Sicilian Defense,Sicilian Defense: Smith-Morra Gambit #2,"",Smith-Morra Gambit #2
44,rajuppi,shivangithegenius,B76,False,40,40,66,White,Resign,2443,978,e4 c5,17,Sicilian Defense,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,"",Dragon Variation
45,hmbrgr,shivangithegenius,B21,False,20,0,41,White,Resign,1500,978,e4 c5,3,Sicilian Defense,Sicilian Defense: Smith-Morra Gambit #2,"",Smith-Morra Gambit #2
46,jjwrchess,shivangithegenius,B20,False,15,0,49,White,Resign,1500,978,e4 c5,3,Sicilian Defense,Sicilian Defense: Bowdler Attack,"",Bowdler Attack
47,shivangithegenius,jjwrchess,B01,False,15,0,3,Black,Resign,978,1500,e4 d5,2,Scandinavian Defense,Scandinavian Defense,"",""
48,adnanraj,shivangithegenius,B20,False,10,0,7,White,Resign,1343,978,e4 c5,3,Sicilian Defense,Sicilian Defense: Bowdler Attack,"",Bowdler Attack
49,rajuppi,shivangithegenius,B77,False,40,40,35,White,Mate,2436,978,e4 c5,17,Sicilian Defense,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Main Line,"",Dragon Variation
50,rajuppi,shivangithegenius,B01,False,40,40,41,White,Mate,2436,978,e4 d5,4,Scandinavian Defense,Scandinavian Defense: Mieses-Kotroc Variation,"",Mieses-Kotroc Variation
51,shivangithegenius,balkarec,C00,False,10,0,5,Black,Resign,978,1500,d4 e6,3,French Defense,French Defense: Normal Variation,"",Normal Variation
52,lucasimeon,shivangithegenius,C21,False,10,0,7,White,Resign,1500,978,e4 e5,4,"King's Pawn Game","King's Pawn Game: Beyer Gambit","",Beyer Gambit
53,shivangithegenius,lucasimeon,A80,False,10,0,53,White,Mate,978,1500,d4 f5,2,Dutch Defense,Dutch Defense,"",""
54,lucasimeon,shivangithegenius,A20,False,10,0,36,Black,Resign,1500,978,c4 e5,2,English Opening,"English Opening: King's English Variation","","King's English Variation"
55,wing175,gerfsh,A04,True,16,0,8,White,Resign,1521,1162,Nf3 e5,2,Zukertort Opening,Zukertort Opening: Ross Gambit,"",Ross Gambit
56,caramiecho72,gerfsh,B23,True,6,10,3,White,Resign,1407,1500,e4 c5,3,Sicilian Defense,Sicilian Defense: Closed Variation,"",Closed Variation
57,mazyaraghgmail,wpc96,C26,True,10,0,28,White,Resign,1492,1458,e4 e5,5,Vienna Game,Vienna Game: Mengarini Variation,"",Mengarini Variation
58,anrk,wpc96,C41,True,10,0,30,Black,Resign,1414,1442,e4 e5,8,Philidor Defense,Philidor Defense: Larsen Variation,"",Larsen Variation
59,wpc96,tbaruel,C44,True,10,0,44,Black,Resign,1457,1294,e4 e5,5,Scotch Game,Scotch Game,"",""
60,acahn,wpc96,C41,True,10,0,29,White,Resign,1525,1466,e4 e5,6,Philidor Defense,Philidor Defense: Lopez Countergambit,"",Lopez Countergambit
61,iskendermyucel,oldpaths,C00,True,8,10,37,Black,Resign,1207,1579,e4 e6,3,French Defense,French Defense: Knight Variation,"",Knight Variation
62,oldpaths,david1488,A40,True,8,12,49,White,Resign,1567,1573,d4 g6,2,Modern Defense,Modern Defense,"",""
63,oldpaths,lc777,A40,True,8,12,32,Black,Resign,1578,1605,d4 e6,2,Horwitz Defense,Horwitz Defense,"",""
64,jordanfury,oldpaths,E10,True,8,12,25,White,Resign,1939,1581,d4 Nf6,6,Blumenfeld Countergambit,Blumenfeld Countergambit #2,"",#2
65,porquepepe,oldpaths,C00,True,5,10,40,Black,Mate,1618,1568,e4 e6,2,French Defense,French Defense #2,"",#2
66,gio1212,oldpaths,A04,True,7,12,39,White,Resign,1755,1574,Nf3 g6,2,Zukertort Opening,Zukertort Opening: Kingside Fianchetto,"",Kingside Fianchetto
67,oldpaths,rubberchicken04,A45,True,15,10,57,White,Resign,1561,1596,d4 Nf6,2,Indian Game,Indian Game,"",""
68,berejokserg,oldpaths,C00,True,5,40,78,Black,Resign,1500,1554,e4 e6,3,French Defense,"French Defense: Queen's Knight","","Queen's Knight"
69,oldpaths,trump216bc,D00,True,15,5,61,White,Resign,1544,1461,d4 d5,3,"Queen's Pawn Game","Queen's Pawn Game: Mason Attack","",Mason Attack
70,oldpaths,efer003,D00,True,20,5,44,Black,Resign,1563,1335,d4 d5,3,"Queen's Pawn Game","Queen's Pawn Game: Mason Attack","",Mason Attack
71,oldpaths,fcolpo,A41,True,20,5,62,Black,Mate,1579,1470,d4 d6,2,"Queen's Pawn","Queen's Pawn","",""
72,chesschumpchamp,oldpaths,A45,True,20,5,87,White,Mate,1617,1590,d4 Nf6,2,Indian Game,Indian Game,"",""
73,aminox,oldpaths,C02,True,20,5,54,Black,Mate,1207,1588,e4 e6,7,French Defense,French Defense: Advance |  Steinitz Variation,"",Advance
74,oldpaths,sale0706,D00,True,15,5,54,Black,Resign,1595,1547,d4 d5,3,"Queen's Pawn Game","Queen's Pawn Game: Mason Attack","",Mason Attack
75,redar1,oldpaths,C01,True,15,5,37,White,Resign,1855,1599,e4 e6,5,French Defense,French Defense: Exchange Variation,"",Exchange Variation
76,oldpaths,insequitur,A40,True,15,5,50,White,Resign,1589,1547,d4 e6,2,Horwitz Defense,Horwitz Defense,"",""
77,oldpaths,tb-123,D02,True,30,0,131,White,Resign,1571,1728,d4 Nf6,5,"Queen's Pawn Game","Queen's Pawn Game: London System","",London System
78,tb-123,oldpaths,C00,True,30,0,48,White,Resign,1720,1579,e4 e6,3,French Defense,French Defense: Chigorin Variation,"",Chigorin Variation
79,oldpaths,iris_foxspring,D02,True,15,5,47,Black,Resign,1579,2105,d4 d5,5,"Queen's Pawn Game","Queen's Pawn Game: London System","",London System
80,zoro55,oldpaths,C00,True,15,5,64,Black,Mate,1768,1560,e4 e6,3,French Defense,French Defense: La Bourdonnais Variation,"",La Bourdonnais Variation
81,oldpaths,geburah,D00,True,15,5,61,White,Resign,1552,1436,d4 d5,3,"Queen's Pawn Game","Queen's Pawn Game: Mason Attack","",Mason Attack
82,oldpaths,urmil007,D02,True,15,5,57,White,Mate,1536,1667,d4 Nf6,5,"Queen's Pawn Game","Queen's Pawn Game: London System","",London System
83,serai,oldpaths,A10,True,15,5,51,White,Resign,1521,1549,c4 Nc6,2,English Opening,English Opening: Anglo-Lithuanian Variation,"",Anglo-Lithuanian Variation
84,allahdeweswin,oldpaths,A00,True,15,5,58,Black,Mate,1251,1545,a4 e5,3,Crab Opening,Crab Opening,"",""
85,oldpaths,antoniogallero,D00,True,15,5,71,White,Resign,1537,1408,d4 d5,3,"Queen's Pawn Game","Queen's Pawn Game: Mason Attack","",Mason Attack
86,oldpaths,matheuswillx,A40,True,15,5,114,White,Resign,1522,1512,d4 c6,1,"Queen's Pawn","Queen's Pawn","",""
87,euler_jr,oldpaths,C18,True,15,5,39,White,Resign,1602,1532,e4 e6,11,French Defense,French Defense: Winawer Variation |  Advance Variation #2,"",Winawer Variation
88,oldpaths,euler_jr,D02,True,15,5,20,Black,Resign,1543,1593,d4 Nf6,5,"Queen's Pawn Game","Queen's Pawn Game: London System","",London System
89,oldpaths,krillnor,D00,True,30,0,48,Black,Resign,1556,1539,d4 d5,3,"Queen's Pawn Game","Queen's Pawn Game: Mason Attack","",Mason Attack
90,hoanghieudro2,oldpaths,C00,True,20,10,34,Black,Mate,1409,1548,e4 e6,3,French Defense,French Defense: Knight Variation,"",Knight Variation
91,oldpaths,hoanghieudro2,D02,True,20,10,51,White,Resign,1539,1418,d4 d5,5,"Queen's Pawn Game","Queen's Pawn Game: London System","",London System
92,ehabhaddad,oldpaths,C00,True,20,10,69,White,Resign,1603,1550,e4 e6,3,French Defense,"French Defense: Queen's Knight","","Queen's Knight"
93,oldpaths,gabrielsol,D00,True,20,10,28,White,Resign,1542,1399,d4 d5,4,"Queen's Pawn Game","Queen's Pawn Game: Steinitz Countergambit","",Steinitz Countergambit
94,oldpaths,crushmik,D02,True,20,10,62,Black,Resign,1546,1877,d4 d5,5,"Queen's Pawn Game","Queen's Pawn Game: London System","",London System
95,amary33,oldpaths,A47,True,20,10,62,Black,Mate,1134,1535,d4 Nf6,4,"Queen's Indian Defense","Queen's Indian Defense","",""
96,oldpaths,remisero,A40,True,20,10,85,White,Mate,1513,1784,d4 e6,2,Horwitz Defense,Horwitz Defense,"",""
97,oldpaths,ryan94,D02,True,20,10,38,White,Resign,1501,1445,d4 Nf6,5,"Queen's Pawn Game","Queen's Pawn Game: London System","",London System
98,lotfibma,hollyandclaws,C50,False,45,0,14,White,Resign,1500,1500,e4 e5,8,Italian Game,Italian Game: Giuoco Pianissimo |  Normal,"",Giuoco Pianissimo
99,avelez8,anonymous1705,D06,True,15,0,113,Draw,Draw,1745,1714,d4 d5,4,"Queen's Gambit","Queen's Gambit Refused: Marshall Defense",Refused,Marshall Defense
100,avelez8,ars01,D06,True,15,0,62,White,Resign,1734,1748,d4 d5,4,"Queen's Gambit","Queen's Gambit Refused: Marshall Defense",Refused,Marshall Defense
101,salah04,avelez8,C10,True,10,0,101,White,Resign,1942,1739,e4 e6,6,French Defense,French Defense: Marshall Variation,"",Marshall Variation
102,avelez8,vincenzo2000,C45,True,10,0,75,White,Out of Time,1724,1855,e4 e5,7,Scotch Game,Scotch Game,"",""
103,majid_alsalhi,avelez8,C02,True,10,0,135,White,Mate,1951,1729,e4 e6,11,French Defense,French Defense: Advance Variation |  Main Line,"",Advance Variation
104,avelez8,pavankumarg,C41,True,10,0,81,White,Out of Time,1726,1388,e4 e5,5,Philidor Defense,Philidor Defense,"",""
105,avelez8,mrmaccc,D80,True,10,0,46,Black,Resign,1735,1806,d4 Nf6,6,Gruenfeld Defense,Gruenfeld Defense,"",""
106,hopefullman15,avelez8,C00,True,10,0,70,Black,Mate,1597,1728,e4 e6,3,French Defense,French Defense: Knight Variation,"",Knight Variation
107,laeca53,avelez8,C10,True,10,0,39,White,Resign,1743,1738,e4 e6,10,French Defense,French Defense: Rubinstein Variation |  Fort Knox Variation,"",Rubinstein Variation
108,totoymate,avelez8,D30,True,10,0,91,White,Resign,1721,1750,d4 d5,7,"Queen's Gambit","Queen's Gambit Declined: Traditional Variation",Declined,Traditional Variation
109,avelez8,frynoodles,D20,True,10,0,137,White,Out of Time,1746,1487,d4 d5,5,"Queen's Gambit","Queen's Gambit Accepted: Old Variation",Accepted,Old Variation
110,jdalcheco,avelez8,C02,True,10,0,46,Black,Resign,1744,1735,e4 e6,9,French Defense,French Defense: Advance Variation |  Paulsen Attack,"",Advance Variation
111,avelez8,yolandoparada,D41,True,10,0,18,Black,Resign,1749,1631,d4 d5,9,"Queen's Gambit","Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5",Declined,Semi-Tarrasch
112,avelez8,murattibogurcu,D20,True,10,0,28,Black,Resign,1769,1396,d4 d5,5,"Queen's Gambit","Queen's Gambit Accepted: Old Variation",Accepted,Old Variation
113,cdvh,hunecel,A46,True,5,8,40,Black,Resign,1795,1760,d4 Nf6,5,Yusupov-Rubinstein System,Yusupov-Rubinstein System,"",""
114,hafedfree,cdvh,D31,True,15,0,111,White,Mate,1729,1795,d4 d5,5,"Queen's Gambit","Queen's Gambit Declined: Queen's Knight Variation",Declined,"Queen's Knight Variation"
115,decem,cdvh,C64,True,10,0,54,Black,Mate,1795,1784,e4 e5,6,Ruy Lopez,Ruy Lopez: Classical Variation,"",Classical Variation
116,cdvh,japcan,D02,True,10,0,33,White,Resign,1770,1872,d4 d5,3,"Queen's Pawn Game","Queen's Pawn Game: Zukertort Variation","",Zukertort Variation
117,cdvh,raubstein,D02,True,10,0,90,Black,Resign,1783,1721,d4 d5,5,"Queen's Pawn Game","Queen's Pawn Game: London System","",London System
118,ashishbarda,cdvh,C64,True,10,0,90,Black,Resign,1884,1768,e4 e5,7,Ruy Lopez,Ruy Lopez: Classical Variation |  Central Variation,"",Classical Variation
119,omid163,cdvh,C24,True,10,0,40,Black,Mate,1756,1756,e4 e5,5,"Bishop's Opening","Bishop's Opening: Ponziani Gambit","",Ponziani Gambit
120,cdvh,capito2017,A43,True,8,0,49,White,Out of Time,1724,1958,d4 Nf6,5,Benoni Defense,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order,"",Benoni-Indian Defense
121,chess-brahs,cdvh,A08,True,10,0,50,Black,Resign,2036,1706,Nf3 d5,6,"King's Indian Attack","King's Indian Attack: French Variation","",French Variation
122,cdvh,dashy1,D02,True,10,0,59,White,Mate,1706,925,d4 d5,5,"Queen's Pawn Game","Queen's Pawn Game: London System","",London System
123,mosheaugustyn,sassou,B00,True,15,15,26,Black,Out of Time,1244,1219,d4 d6,4,Nimzowitsch Defense,Nimzowitsch Defense: Mikenas Variation,"",Mikenas Variation
124,sassou,memoryberat,C50,True,15,15,23,White,Mate,1215,921,e4 e5,5,Italian Game,Italian Game,"",""
125,fatmat,sassou,B03,True,15,15,118,Black,Mate,1350,1201,e4 Nf6,5,Alekhine Defense,Alekhine Defense #2,"",#2
126,sassou,alpheus23,B29,True,15,15,66,Black,Mate,1210,1280,e4 c5,4,Sicilian Defense,Sicilian Defense: Nimzowitsch Variation,"",Nimzowitsch Variation
127,sureka_akshat,sassou,C50,True,15,15,120,Draw,Draw,1139,1212,e4 Nf6,8,Four Knights Game,Four Knights Game: Italian Variation,"",Italian Variation
128,sassou,kapi77,C57,True,15,15,36,Black,Mate,1220,1341,e4 e5,11,Italian Game,Italian Game: Two Knights Defense |  Fried Liver Attack,"",Two Knights Defense
129,sassou,cohiba_313,C55,True,15,15,26,Black,Mate,1234,1359,e4 e5,6,Italian Game,Italian Game: Anti-Fried Liver Defense,"",Anti-Fried Liver Defense
130,sassou,bagelsfu,C57,True,15,15,62,Black,Resign,1275,1236,e4 e5,11,Italian Game,Italian Game: Two Knights Defense |  Fried Liver Attack,"",Two Knights Defense
131,sabayossi,sassou,B02,True,15,15,37,White,Resign,1433,1282,e4 Nf6,3,Alekhine Defense,Alekhine Defense: Maroczy Variation,"",Maroczy Variation
132,trelynn17,sassou,D06,True,15,15,24,Black,Resign,1132,1276,d4 Nf6,4,"Queen's Gambit","Queen's Gambit Refused: Marshall Defense",Refused,Marshall Defense
133,sassou,maougnassou,C55,False,30,2,47,White,Resign,1276,1308,e4 e5,6,Italian Game,Italian Game: Anti-Fried Liver Defense,"",Anti-Fried Liver Defense
134,laeufer26,sassou,B02,True,15,15,37,Black,Resign,1228,1266,e4 Nf6,7,Alekhine Defense,Alekhine Defense: Two Pawn Attack |  Lasker Variation,"",Two Pawn Attack
135,sassou,popsun,B13,True,15,15,24,Black,Resign,1273,1409,e4 c6,5,Caro-Kann Defense,Caro-Kann Defense: Exchange Variation,"",Exchange Variation
136,mdaboczi,sassou,D00,True,15,15,9,White,Resign,1338,1277,d4 d5,3,"Queen's Pawn Game","Queen's Pawn Game #2","",#2
137,sassou,marktop1,B57,True,15,15,47,White,Mate,1263,1336,e4 c5,8,Sicilian Defense,Sicilian Defense: Modern Variations |  Main Line,"",Modern Variations
138,rougethunder,sassou,A20,True,15,15,85,White,Mate,1316,1273,c4 e5,2,English Opening,"English Opening: King's English Variation","","King's English Variation"
139,sassou,shobik24,B00,True,15,15,39,White,Mate,1248,1253,e4 h5,2,Goldsmith Defense,Goldsmith Defense,"",""
140,maninayebi,sassou,E20,True,15,15,58,Black,Mate,1335,1233,d4 Nf6,6,Nimzo-Indian Defense,Nimzo-Indian Defense,"",""
141,sassou,agilm,C57,True,15,15,95,White,Mate,1223,1189,e4 e5,11,Italian Game,Italian Game: Two Knights Defense |  Fried Liver Attack,"",Two Knights Defense
142,pune123,sassou,B02,True,15,15,2,Black,Resign,1443,1204,e4 Nf6,2,Alekhine Defense,Alekhine Defense,"",""
143,failedocean,sassou,D06,True,15,15,97,White,Mate,1227,1216,d4 d5,4,"Queen's Gambit","Queen's Gambit Refused: Marshall Defense",Refused,Marshall Defense
144,sassou,lumipa,C50,True,15,15,12,Draw,Draw,1215,1219,e4 e5,5,Italian Game,Italian Game,"",""
145,fastandbulbous420,sassou,C50,True,15,15,30,White,Resign,1227,1227,e4 Nf6,8,Four Knights Game,Four Knights Game: Italian Variation,"",Italian Variation
146,minimouf,sassou,E11,True,10,0,43,White,Mate,1550,1225,d4 Nf6,8,Bogo-Indian Defense,Bogo-Indian Defense: Exchange Variation,"",Exchange Variation
147,goodolddaystr,sassou,B02,True,15,15,11,White,Resign,1325,1234,e4 Nf6,2,Alekhine Defense,Alekhine Defense,"",""
148,gonzalogp98,sassou,B02,True,15,15,72,Black,Mate,1212,1221,e4 Nf6,5,Alekhine Defense,Alekhine Defense: Saemisch Attack,"",Saemisch Attack
149,sassou,vladimir_shindin,C40,True,15,15,156,Black,Mate,1226,1478,e4 e5,3,"King's Knight Opening","King's Knight Opening","",""
150,sassou,martin74,D30,True,25,0,18,Black,Resign,1228,1626,d4 d5,4,"Queen's Gambit","Queen's Gambit Declined",Declined,""
151,gotochess,sassou,C11,False,10,2,77,White,Mate,1191,1228,d4 Nf6,7,French Defense,French Defense: Classical Variation |  Steinitz Variation,"",Classical Variation
152,quent0,sassou,B02,True,30,0,32,Black,Resign,1422,1210,e4 Nf6,5,Alekhine Defense,Alekhine Defense: Two Pawn Attack,"",Two Pawn Attack
153,dangerflaps,sassou,C28,True,15,15,35,White,Resign,1186,1223,e4 Nf6,5,Vienna Game,Vienna Game: Vienna Gambit,"",Vienna Gambit
154,sassou,shazzam9999,B06,True,15,15,85,White,Mate,1212,1212,e4 g6,2,Modern Defense,Modern Defense,"",""
155,sassou,chessn00b47,B01,True,15,15,50,Black,Resign,1228,1343,e4 d5,6,Scandinavian Defense,Scandinavian Defense: Panov Transfer,"",Panov Transfer
156,japonxino,isachess,A46,True,10,10,111,White,Resign,1865,1862,Nf3 Nf6,5,Yusupov-Rubinstein System,Yusupov-Rubinstein System,"",""
157,isachess,roshan_ie,B30,True,7,2,65,White,Out of Time,1852,1852,e4 c5,5,Sicilian Defense,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,"",Nyezhmetdinov-Rossolimo Attack
158,cliff_walker,isachess,A56,True,15,0,73,White,Resign,1833,1863,d4 Nf6,4,Benoni Defense,Benoni Defense,"",""
159,isachess,sergej1956,B27,True,15,0,125,White,Resign,1851,1918,e4 c5,4,Sicilian Defense,Sicilian Defense: Hyperaccelerated Dragon,"",Hyperaccelerated Dragon
160,isachess,pogrib,C55,True,15,0,76,Black,Resign,1861,1844,e4 e5,6,Italian Game,Italian Game: Anti-Fried Liver Defense,"",Anti-Fried Liver Defense
161,isachess,tartetatin,C65,True,10,0,65,White,Out of Time,1853,1774,e4 e5,6,Ruy Lopez,Ruy Lopez: Berlin Defense #2,"",Berlin Defense #2
162,juncinmestrella,isachess,B90,True,10,0,41,White,Mate,1910,1862,e4 c5,11,Sicilian Defense,Sicilian Defense: Najdorf |  Lipnitsky Attack,"",Najdorf
163,isachess,robinhood76,C00,True,10,0,59,White,Resign,1851,1890,e4 e6,3,French Defense,French Defense: Knight Variation,"",Knight Variation
164,tohaimr7,isachess,B50,True,15,5,70,Black,Resign,1860,1840,e4 c5,5,Sicilian Defense,Sicilian Defense: Delayed Alapin,"",Delayed Alapin
165,zpectral-chess,isachess,B51,True,25,25,34,White,Resign,1828,1848,e4 c5,5,Sicilian Defense,Sicilian Defense: Canal-Sokolsky Attack,"",Canal-Sokolsky Attack
166,javier_temperley,isachess,E00,True,8,0,69,White,Out of Time,1855,1858,Nh3 d5,1,Amar Opening,Amar Opening,"",""
167,isachess,jadesummer,C70,True,10,10,63,White,Resign,1847,1895,e4 e5,8,Ruy Lopez,Ruy Lopez: Morphy Defense |  Classical Defense Deferred,"",Morphy Defense
168,jadesummer,isachess,B50,True,10,10,107,White,Resign,1885,1856,e4 c5,4,Sicilian Defense,Sicilian Defense,"",""
169,isachess,borvel,A40,True,30,0,58,White,Resign,1847,1802,d4 h6,1,"Queen's Pawn","Queen's Pawn","",""
170,isachess,homayoni,B11,False,20,5,34,Black,Resign,1847,1856,e4 c6,6,Caro-Kann Defense,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation,"",Two Knights Attack
171,demetrio50,isachess,B22,True,15,0,100,Black,Out of Time,1840,1837,e4 c5,3,Sicilian Defense,Sicilian Defense: Alapin Variation,"",Alapin Variation
